                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6085,                 2.2426,                 1.3886,                0.33275,                0.28191,                0.18405,                0.10829,                 1.5993,                 2.2225,                 1.3756,             0.00027594,             0.00027594,             0.00027594
                      2,                 1.5065,                 1.9298,                 1.3339,                0.36943,                0.31421,                0.22602,                0.13505,                 1.5115,                 1.9462,                 1.3692,             0.00055087,             0.00055087,             0.00055087
                      3,                 1.4988,                  1.887,                 1.3358,                0.44326,                0.33389,                0.27189,                0.16609,                  1.502,                 1.9152,                 1.3478,             0.00082305,             0.00082305,             0.00082305
                      4,                 1.4738,                 1.8663,                 1.3149,                0.28992,                0.33329,                0.25413,                0.15932,                 1.4831,                 1.9173,                 1.3235,             0.00082063,             0.00082063,             0.00082063
                      5,                 1.4273,                 1.8164,                 1.2884,                0.41601,                0.34799,                0.29494,                0.18091,                 1.4203,                 1.7663,                 1.2907,             0.00082063,             0.00082063,             0.00082063
                      6,                 1.4221,                 1.8019,                 1.2943,                0.34322,                0.34513,                0.29459,                0.18153,                 1.4353,                 1.7881,                 1.2869,             0.00081651,             0.00081651,             0.00081651
                      7,                 1.3797,                 1.7486,                 1.2631,                0.39143,                0.36303,                0.30704,                0.19627,                 1.3644,                 1.7406,                 1.2605,             0.00081238,             0.00081238,             0.00081238
                      8,                 1.3449,                 1.7324,                 1.2508,                0.40207,                0.36945,                0.31167,                0.19848,                  1.353,                 1.7624,                 1.2491,             0.00080826,             0.00080826,             0.00080826
                      9,                 1.3248,                 1.7021,                 1.2423,                0.39121,                  0.367,                 0.3206,                0.20184,                 1.3687,                 1.6982,                 1.2485,             0.00080414,             0.00080414,             0.00080414
                     10,                 1.3399,                 1.6939,                 1.2453,                0.43335,                0.36508,                0.32998,                0.21192,                 1.3225,                 1.6955,                 1.2244,             0.00080001,             0.00080001,             0.00080001
                     11,                 1.3019,                 1.6526,                 1.2213,                0.40387,                0.36316,                0.32046,                0.20238,                 1.3901,                 1.6741,                 1.2716,             0.00079589,             0.00079589,             0.00079589
                     12,                 1.2958,                 1.6497,                 1.2227,                0.43698,                0.39135,                 0.3454,                 0.2223,                 1.2988,                 1.6595,                 1.2161,             0.00079177,             0.00079177,             0.00079177
                     13,                 1.2915,                 1.6533,                 1.2257,                 0.4708,                0.36508,                0.35169,                0.22528,                 1.2914,                 1.6389,                 1.2057,             0.00078764,             0.00078764,             0.00078764
                     14,                 1.2715,                 1.6181,                 1.2088,                0.42855,                0.40501,                0.36116,                0.23483,                 1.2883,                 1.6176,                 1.2096,             0.00078352,             0.00078352,             0.00078352
                     15,                 1.2468,                 1.6068,                 1.1942,                0.46619,                0.39727,                0.36264,                0.23838,                 1.2592,                  1.641,                  1.191,              0.0007794,              0.0007794,              0.0007794
                     16,                 1.2405,                  1.581,                 1.1972,                0.46704,                0.38779,                0.37841,                0.25085,                 1.2656,                 1.5828,                 1.1911,             0.00077527,             0.00077527,             0.00077527
